PLUAD_name;DEP_num;NameEn;NameRus;NameKg;Length;type
RD3;47;Spartak-Besh Terek ;Спартак - Беш Терек;Спартак - Беш Терек;15;loc
RD3;47;Access road to v/ch;Подъездная дорога к v/ch;Подъездная дорога к v/ch;6,2;loc
RD3;47;Spartak-Kr.Pahar;Спартак - Кр. Пахар;Спартак - Кр. Пахар;9;loc
RD3;47;Sretenka-Kiz Molo ;Сретенка - Кыз Моло;Сретенка - Кыз Моло;12,9;loc
RD3;47;Sretenka-Kyrgyzstan ;Сретенка - Кыргызстан;Сретенка - Кыргызстан;16;loc
RD3;47;Sadovaya MTF k-z Drujba;Садовое - МТФ - Колхоз Дружба;Садовое - МТФ - Колхоз Дружба;3,5;loc
RD3;47;Alexandrovka-Kyrgyzstan ;Александровка - Кыргызстан;Александровка - Кыргызстан;6;loc
RD3;48;Alexandrovka-Krupskaya ;Александровка - Крупская;Александровка - Крупская;7,1;loc
RD3;48;Belovodsk-Pretechenka ;Беловодское - Претеченка;Беловодское - Претеченка;14,5;loc
RD3;48;Access road to ABTs;Подъездные дорог к ABT;Подъездные дорог к ABT;2;loc
RD3;48;Temen Suu-Ak Bashat ;Темен Суу - Ак Башат;Темен Суу - Ак Башат;4;loc
RD3;48;Sokuluk-Belogorka;Сокулук - Белогорка;Сокулук - Белогорка;49;loc
RD3;48;Poltavka-Besh Terek ;Полтавка - Беш Терек;Полтавка - Беш Терек;26;nat
RD3;48;Balykchi-Bokonbaevo-Karakol 124-150km ;Балыкчы - Боконбаево - Каракол 124-150 км;Балыкчы - Боконбаево - Каракол 124-150 км;26;inter
RD3;48;Barskoon-Ak Shiyrak 0-208km;Барскоон - Ак Шыйрак 0-208 км;Барскоон - Ак Шыйрак 0-208 км;163;inter
RD3;48;Sook-Karakolka-Kurmontu 0-95km;Соок - Караколка - Курмонту 0-95 км;Соок - Караколка - Курмонту 0-95 км;95;nat
RD3;48;Gosdoroga Barskoon-Tamga ;госдорога Барскоон - Тамга;госдорога Барскоон - Тамга;11;loc
RD3;48;"Gosdoroga resort ""CABO""";"госдорога Дом отдыха ""САВО""";"госдорога Дом отдыха ""САВО""";2;loc
RD3;48;Bishkek-Osh  318-427 km;Бишкек - Ош 318-427;Бишкек - Ош 318-428;109;inter
RD3;48;Kyzyluran-Zhetigen ;Кызылуран - Жетиген;Кызылуран - Жетиген;10;loc
RD3;48;Kyzyluran-Telman;Кызылуран - Тельман;Кызылуран - Тельман;11;loc
RD3;48;Uchterek-Ozgorush;Учтерек - Озгоруш;Учтерек - Озгоруш;50;loc
